,country,current_role,yearly_compensation,programming_languages,ides,visualization,activities,gender,primary_tool,ages
10691,Other,Data Analyst,0-999," SQL, Java","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Jupyter Notebook", None,Analyze and understand data to influence product or business decisions,Woman,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",joven
10693,Egypt,Data Analyst,0-999,"Python, R, SQL"," Sublime Text,Jupyter Notebook"," Matplotlib ,Seaborn ",None of these activities are an important part of my role at work,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",mediana
10706,Kenya,Data Analyst,"3,000-3,999",unknown,unknown,unknown,Analyze and understand data to influence product or business decisions,Woman,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",joven
10738,India,Data Analyst,"1,000-1,999","Python, SQL","RStudio ,PyCharm ,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ","Analyze and understand data to influence product or business decisions, Experimentation and iteration to improve existing ML models, Do research that advances the state of the art of machine learning",Man,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",joven
10744,Austria,Data Analyst,"30,000-39,999", C,Visual Studio , None,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",mayor
10746,India,Data Analyst,0-999,"Python, R, SQL", Other," Matplotlib ,Seaborn ,Ggplot / ggplot2 ",Analyze and understand data to influence product or business decisions,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",joven
10752,Japan,Data Analyst,"80,000-89,999","Python, SQL","Visual Studio Code (VSCode) , Other"," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",mediana
10753,Pakistan,Data Analyst,"25,000-29,999","Python, R, SQL, C++, MATLAB","Visual Studio ,MATLAB "," Matplotlib ,Plotly / Plotly Express ,Shiny ,Leaflet / Folium ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows",Man,unknown,joven
10757,India,Data Analyst,"30,000-39,999",unknown,unknown,unknown,None of these activities are an important part of my role at work,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",mediana
10773,Nigeria,Data Analyst,0-999,"Python, MATLAB","PyCharm ,MATLAB ,Jupyter Notebook", Matplotlib ,"Analyze and understand data to influence product or business decisions, Build prototypes to explore applying machine learning to new areas",Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",joven
10776,India,Data Analyst,"3,000-3,999","Python, R, SQL",Jupyter Notebook," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions,Woman,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",joven
10787,United Kingdom of Great Britain and Northern Ireland,Data Analyst,"30,000-39,999",unknown,unknown,unknown,Analyze and understand data to influence product or business decisions,Woman,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",mediana
10790,India,Data Analyst,"10,000-14,999","Python, SQL, C++","Visual Studio Code (VSCode) , Sublime Text,Jupyter Notebook"," Matplotlib ,Seaborn ,D3 js ",Analyze and understand data to influence product or business decisions,Man,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",joven
10797,Spain,Data Analyst,"25,000-29,999","Python, SQL","Visual Studio ,PyCharm ,Jupyter Notebook"," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Woman,"Local development environments (RStudio, JupyterLab, etc.)",joven
10838,India,Data Analyst,"5,000-7,499","Python, SQL, Java"," Spyder, Notepad++"," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Other",Man,Other,joven
10845,Canada,Data Analyst,"60,000-69,999","Python, SQL, Bash, MATLAB","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio Code (VSCode) , Notepad++,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",joven
10872,India,Data Analyst,"1,000-1,999","Python, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) "," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions,Woman,"Local development environments (RStudio, JupyterLab, etc.)",joven
10876,Singapore,Data Analyst,"90,000-99,999",Python," Spyder,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Bokeh ",Build and/or run a machine learning service that operationally improves my product or workflows,Man,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",mediana
10879,Belgium,Data Analyst,"100,000-124,999","Python, SQL, Bash"," Vim / Emacs,Jupyter Notebook", None,None of these activities are an important part of my role at work,Woman,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",mediana
10886,India,Data Analyst,unknown," R, SQL, Other",PyCharm ,Plotly / Plotly Express ,unknown,Man,unknown,joven
10892,India,Data Analyst,0-999,Python,Jupyter Notebook, Matplotlib ,Analyze and understand data to influence product or business decisions,Woman,"Local development environments (RStudio, JupyterLab, etc.)",joven
10907,India,Data Analyst,"15,000-19,999","Python, R, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,PyCharm , Notepad++,MATLAB ", Matplotlib ,"Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build and/or run a machine learning service that operationally improves my product or workflows",Man,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",mediana
10910,Israel,Data Analyst,"100,000-124,999","Python, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,PyCharm , Sublime Text,Jupyter Notebook"," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,unknown,mediana
10921,Poland,Data Analyst,"1,000-1,999"," SQL, Bash","PyCharm , Notepad++,Jupyter Notebook", None,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",mediana
10937,Indonesia,Data Analyst,"2,000-2,999",unknown,unknown,unknown,Analyze and understand data to influence product or business decisions,Man,unknown,mediana
10949,India,Data Analyst,"1,000-1,999","Python, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) "," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows, Experimentation and iteration to improve existing ML models",Woman,"Local development environments (RStudio, JupyterLab, etc.)",mediana
10962,United States of America,Data Analyst,"200,000-249,999","Python, R","RStudio , Spyder, Notepad++,Jupyter Notebook"," Matplotlib ,Ggplot / ggplot2 ",Analyze and understand data to influence product or business decisions,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",mayor
10983,India,Data Analyst,"7,500-9,999","Python, R","RStudio ,PyCharm , Spyder,Jupyter Notebook", Matplotlib ,"Analyze and understand data to influence product or business decisions, Do research that advances the state of the art of machine learning",Woman,"Local development environments (RStudio, JupyterLab, etc.)",joven
11002,Netherlands,Data Analyst,"10,000-14,999","Python, SQL",Jupyter Notebook," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions,Man,"Local development environments (RStudio, JupyterLab, etc.)",mayor
11020,India,Data Analyst,"20,000-24,999"," R, SQL, Other",RStudio ," Matplotlib ,Plotly / Plotly Express ,Ggplot / ggplot2 ",Analyze and understand data to influence product or business decisions,Man,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",mediana
11027,Nepal,Data Analyst,"7,500-9,999","Python, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,PyCharm , Spyder,Jupyter Notebook"," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,"Local development environments (RStudio, JupyterLab, etc.)",mediana
11058,Egypt,Data Analyst,unknown,"Python, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio Code (VSCode) ,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Ggplot / ggplot2 ",unknown,Man,unknown,joven
11094,Bangladesh,Data Analyst,"15,000-19,999","Python, SQL, C, C++", Notepad++, None,Analyze and understand data to influence product or business decisions,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",mediana
11104,Brazil,Data Analyst,"15,000-19,999","Python, SQL, C, Java, Javascript, Bash","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio Code (VSCode) "," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Ggplot / ggplot2 ,Shiny ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows, Experimentation and iteration to improve existing ML models",Man,"Local development environments (RStudio, JupyterLab, etc.)",joven
11105,Indonesia,Data Analyst,"3,000-3,999"," Java, Javascript","Visual Studio Code (VSCode) , Notepad++, Sublime Text, Other", None,None of these activities are an important part of my role at work,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",mediana
11113,South Korea,Data Analyst,"80,000-89,999"," R, C",RStudio ,"Ggplot / ggplot2 ,Shiny ",Analyze and understand data to influence product or business decisions,Man,"Local development environments (RStudio, JupyterLab, etc.)",mediana
11119,Egypt,Data Analyst,"1,000-1,999",Python,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio Code (VSCode) , Spyder,Jupyter Notebook"," Matplotlib ,Seaborn ",Experimentation and iteration to improve existing ML models,Man,Other,joven
11128,India,Data Analyst,"10,000-14,999","Python, SQL, Java","PyCharm ,Jupyter Notebook"," Matplotlib ,Seaborn ",Build and/or run a machine learning service that operationally improves my product or workflows,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",joven
11155,Egypt,Data Analyst,"1,000-1,999","Python, Javascript","Visual Studio Code (VSCode) , Spyder,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ",None of these activities are an important part of my role at work,Woman,unknown,joven
11166,United States of America,Data Analyst,0-999," R, MATLAB", Sublime Text, None,Analyze and understand data to influence product or business decisions,Prefer not to say,Other,mediana
11168,Kenya,Data Analyst,0-999,"Python, R, SQL","RStudio ,Visual Studio Code (VSCode) ,PyCharm ,Jupyter Notebook"," Matplotlib ,Seaborn ,Ggplot / ggplot2 ",None of these activities are an important part of my role at work,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",mediana
11174,United States of America,Data Analyst,"15,000-19,999","Python, R","RStudio ,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Ggplot / ggplot2 ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Do research that advances the state of the art of machine learning",Man,"Local development environments (RStudio, JupyterLab, etc.)",joven
11175,Ghana,Data Analyst,0-999,unknown,unknown,unknown,"Analyze and understand data to influence product or business decisions, Build and/or run a machine learning service that operationally improves my product or workflows",Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",mediana
11191,United States of America,Data Analyst,"40,000-49,999","Python, R, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,RStudio ",Ggplot / ggplot2 ,Analyze and understand data to influence product or business decisions,Woman,"Local development environments (RStudio, JupyterLab, etc.)",mediana
11199,United States of America,Data Analyst,"60,000-69,999","Python, SQL","PyCharm ,Jupyter Notebook"," Matplotlib ,Seaborn ,Bokeh ,Geoplotlib ",Analyze and understand data to influence product or business decisions,Woman,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",mediana
11231,China,Data Analyst,"2,000-2,999", SQL,Jupyter Notebook," Matplotlib ,Ggplot / ggplot2 ",Other,Man,"Local development environments (RStudio, JupyterLab, etc.)",joven
11233,United States of America,Data Analyst,"150,000-199,999","Python, R, SQL","RStudio ,PyCharm ,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Ggplot / ggplot2 ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",mediana
11234,Kenya,Data Analyst,"4,000-4,999","Python, SQL","Visual Studio ,Visual Studio Code (VSCode) ,PyCharm , Sublime Text", Matplotlib ,Analyze and understand data to influence product or business decisions,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",joven
11238,Argentina,Data Analyst,0-999,unknown,unknown,unknown,Analyze and understand data to influence product or business decisions,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",mediana
11240,Mexico,Data Analyst,"2,000-2,999","Python, SQL, C++, Javascript, MATLAB",Visual Studio Code (VSCode) , None,"Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",joven
11253,Vietnam,Data Analyst,0-999,"Python, SQL","Jupyter Notebook, Other"," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions,Woman,unknown,joven
11260,India,Data Analyst,0-999,unknown,unknown,unknown,None of these activities are an important part of my role at work,Woman,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",joven
11266,India,Data Analyst,"15,000-19,999","Python, R, SQL, MATLAB","Visual Studio Code (VSCode) , Spyder"," Matplotlib ,Seaborn ,Plotly / Plotly Express ","Analyze and understand data to influence product or business decisions, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows, Experimentation and iteration to improve existing ML models",Man,"Advanced statistical software (SPSS, SAS, etc.)",mediana
11276,United States of America,Data Analyst,unknown,"Python, SQL","PyCharm , Notepad++,Jupyter Notebook",unknown,unknown,Man,unknown,mediana
11281,Kenya,Data Analyst,0-999,"Python, R","RStudio ,PyCharm "," Matplotlib ,Ggplot / ggplot2 ,Shiny ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,"Local development environments (RStudio, JupyterLab, etc.)",joven
11330,Vietnam,Data Analyst,0-999,"Python, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,PyCharm ,Jupyter Notebook"," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",joven
11344,United States of America,Data Analyst,"60,000-69,999","Python, SQL, C, Javascript","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio Code (VSCode) , Notepad++","Seaborn ,Plotly / Plotly Express ",Analyze and understand data to influence product or business decisions,Man,unknown,mediana
11345,Indonesia,Data Analyst,"7,500-9,999"," R, SQL, Other",RStudio ,"Ggplot / ggplot2 ,Shiny ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas",Man,"Local development environments (RStudio, JupyterLab, etc.)",joven
11371,Colombia,Data Analyst,"1,000-1,999","Python, SQL, Javascript","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio Code (VSCode) ,Jupyter Notebook"," Matplotlib ,Plotly / Plotly Express ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows, Do research that advances the state of the art of machine learning",Woman,unknown,joven
11372,India,Data Analyst,unknown,"Python, R, SQL, C, C++, Java, MATLAB",unknown,unknown,unknown,Man,unknown,joven
11381,India,Data Analyst,0-999, None,"RStudio ,PyCharm ", None,Analyze and understand data to influence product or business decisions,Man,unknown,mediana
11421,India,Data Analyst,0-999,unknown,unknown,unknown,Analyze and understand data to influence product or business decisions,Woman,Other,joven
11435,United States of America,Data Analyst,"90,000-99,999","Python, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,RStudio ,Visual Studio Code (VSCode) ,Jupyter Notebook"," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Experimentation and iteration to improve existing ML models",Man,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",mediana
11452,United Kingdom of Great Britain and Northern Ireland,Data Analyst,"40,000-49,999","Python, R","RStudio ,Visual Studio Code (VSCode) ,Jupyter Notebook"," Matplotlib ,Seaborn ,Ggplot / ggplot2 ","Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Experimentation and iteration to improve existing ML models",Man,unknown,joven
11458,India,Data Analyst,"10,000-14,999","Python, SQL","Visual Studio , Notepad++, Sublime Text"," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions,Man,unknown,joven
11487,Philippines,Data Analyst,"1,000-1,999","Python, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) , Sublime Text","Seaborn ,Plotly / Plotly Express ,Ggplot / ggplot2 ,Geoplotlib ,Leaflet / Folium ",Analyze and understand data to influence product or business decisions,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",mediana
11499,Nepal,Data Analyst,"5,000-7,499",Python," Sublime Text,Jupyter Notebook",Seaborn ,"Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,"Advanced statistical software (SPSS, SAS, etc.)",joven
11501,Vietnam,Data Analyst,"10,000-14,999","Python, R, SQL","RStudio ,Visual Studio Code (VSCode) ,Jupyter Notebook"," Matplotlib ,Seaborn ,Ggplot / ggplot2 ,D3 js ,Bokeh ","Analyze and understand data to influence product or business decisions, Build and/or run a machine learning service that operationally improves my product or workflows",Woman,Other,mediana
11542,India,Data Analyst,0-999,"Python, SQL","PyCharm ,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ",Analyze and understand data to influence product or business decisions,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",joven
11543,Netherlands,Data Analyst,"60,000-69,999","Python, SQL"," Spyder, Other"," Matplotlib ,Seaborn ,Plotly / Plotly Express ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas",Man,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",joven
11545,Saudi Arabia,Data Analyst,"40,000-49,999","Python, SQL, C++, Java, MATLAB","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio ,MATLAB ,Jupyter Notebook"," Matplotlib ,Plotly / Plotly Express ,Leaflet / Folium ",Build prototypes to explore applying machine learning to new areas,Woman,"Advanced statistical software (SPSS, SAS, etc.)",mediana
11548,India,Data Analyst,"15,000-19,999","Python, SQL, C++, Java, Swift","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio Code (VSCode) ,Jupyter Notebook"," Matplotlib ,Seaborn ,Bokeh ,Geoplotlib ,Leaflet / Folium ","Analyze and understand data to influence product or business decisions, Experimentation and iteration to improve existing ML models",Man,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",joven
11571,United States of America,Data Analyst,"50,000-59,999","Python, R, SQL","RStudio ,Visual Studio Code (VSCode) ,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Ggplot / ggplot2 ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Woman,"Local development environments (RStudio, JupyterLab, etc.)",joven
11577,Egypt,Data Analyst,"7,500-9,999",unknown,unknown,unknown,"Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,unknown,mediana
11580,Egypt,Data Analyst,unknown,"Python, R, SQL","RStudio ,Visual Studio ,PyCharm ", None,unknown,Man,unknown,mediana
11585,Netherlands,Data Analyst,"70,000-79,999","Python, SQL",Jupyter Notebook," Matplotlib ,Seaborn ,Plotly / Plotly Express ","Analyze and understand data to influence product or business decisions, Experimentation and iteration to improve existing ML models",Woman,"Local development environments (RStudio, JupyterLab, etc.)",joven
11595,Mexico,Data Analyst,unknown," R, SQL","RStudio ,Visual Studio ", None,unknown,Man,unknown,mediana
11599,Belarus,Data Analyst,"10,000-14,999","Python, R, SQL","RStudio ,Visual Studio Code (VSCode) ,Jupyter Notebook",Ggplot / ggplot2 ,"Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",mediana
11603,United States of America,Data Analyst,0-999,"Python, SQL",Jupyter Notebook," Matplotlib ,Seaborn ,Ggplot / ggplot2 ",Analyze and understand data to influence product or business decisions,Woman,"Local development environments (RStudio, JupyterLab, etc.)",mediana
11608,Kenya,Data Analyst,0-999,"Python, R, SQL, C++, Java, Javascript, MATLAB","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,RStudio ,Visual Studio ,Visual Studio Code (VSCode) ,PyCharm , Notepad++,MATLAB ,Jupyter Notebook"," Matplotlib ,Leaflet / Folium ",Analyze and understand data to influence product or business decisions,Woman,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",joven
11627,Canada,Data Analyst,"125,000-149,999", SQL, None, None,Analyze and understand data to influence product or business decisions,Man,unknown,mediana
11630,Nigeria,Data Analyst,0-999, Javascript,Visual Studio Code (VSCode) , None,Analyze and understand data to influence product or business decisions,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",joven
11640,Russia,Data Analyst,"1,000-1,999","Python, R, C++, MATLAB","RStudio ,Visual Studio Code (VSCode) ,PyCharm ,MATLAB "," Matplotlib ,Seaborn ",Do research that advances the state of the art of machine learning,Man,"Local development environments (RStudio, JupyterLab, etc.)",mediana
11643,Singapore,Data Analyst,"4,000-4,999","Python, R, Javascript, Other","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,RStudio ,Visual Studio Code (VSCode) ,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Ggplot / ggplot2 ,Shiny ",Analyze and understand data to influence product or business decisions,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",mayor
11657,Colombia,Data Analyst,"50,000-59,999",Python,Jupyter Notebook," Matplotlib ,D3 js ","Analyze and understand data to influence product or business decisions, Build prototypes to explore applying machine learning to new areas",Man,unknown,mediana
11668,United States of America,Data Analyst,"50,000-59,999","Python, Other"," Notepad++,Jupyter Notebook, Other"," Matplotlib ,Seaborn ,Ggplot / ggplot2 ,Bokeh ,Geoplotlib ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows, Experimentation and iteration to improve existing ML models",Woman,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",mediana
11700,Sweden,Data Analyst,unknown,"Python, R, SQL","RStudio ,Visual Studio ,Visual Studio Code (VSCode) , Notepad++,Jupyter Notebook"," Matplotlib ,Plotly / Plotly Express ,Ggplot / ggplot2 ,Shiny ",unknown,Man,unknown,mediana
11720,Egypt,Data Analyst,unknown,Python,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ",Plotly / Plotly Express ,unknown,Man,unknown,joven
11743,India,Data Analyst,"7,500-9,999","Python, SQL",Jupyter Notebook," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,unknown,joven
11750,Malaysia,Data Analyst,"10,000-14,999",unknown,unknown,unknown,"Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",joven
11752,United Kingdom of Great Britain and Northern Ireland,Data Analyst,"30,000-39,999","Python, R, SQL","RStudio ,Jupyter Notebook","Seaborn ,Ggplot / ggplot2 ",None of these activities are an important part of my role at work,Woman,"Local development environments (RStudio, JupyterLab, etc.)",mayor
11759,United Kingdom of Great Britain and Northern Ireland,Data Analyst,"2,000-2,999","Python, SQL, Javascript","Visual Studio Code (VSCode) , Spyder, Sublime Text,Jupyter Notebook","Seaborn ,Plotly / Plotly Express ,D3 js ,Bokeh ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,"Local development environments (RStudio, JupyterLab, etc.)",mediana
11774,Canada,Data Analyst,"100,000-124,999"," R, SQL","RStudio , Notepad++","Plotly / Plotly Express ,Ggplot / ggplot2 ,Shiny ",Analyze and understand data to influence product or business decisions,Man,"Local development environments (RStudio, JupyterLab, etc.)",mediana
11793,United States of America,Data Analyst,"70,000-79,999", SQL, None, None,"Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",mediana
11794,Russia,Data Analyst,"50,000-59,999","Python, R, SQL","RStudio ,Visual Studio Code (VSCode) , Notepad++,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Ggplot / ggplot2 ,Shiny ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas",Man,"Local development environments (RStudio, JupyterLab, etc.)",mediana
11796,India,Data Analyst,0-999,unknown,unknown,unknown,Other,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",joven
11801,India,Data Analyst,"7,500-9,999","Python, R, SQL, Java","RStudio ,Visual Studio Code (VSCode) ,PyCharm , Notepad++,Jupyter Notebook, Other"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Ggplot / ggplot2 ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build and/or run a machine learning service that operationally improves my product or workflows",Man,"Local development environments (RStudio, JupyterLab, etc.)",joven
11812,Argentina,Data Analyst,"4,000-4,999","Python, SQL","Visual Studio Code (VSCode) ,Jupyter Notebook"," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",joven
11818,Russia,Data Analyst,"1,000-1,999","Python, SQL","Visual Studio Code (VSCode) ,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Bokeh ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,"Local development environments (RStudio, JupyterLab, etc.)",mediana
11820,China,Data Analyst,"80,000-89,999","Python, SQL, C",Visual Studio Code (VSCode) ," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build and/or run a machine learning service that operationally improves my product or workflows",Man,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",joven
11860,China,Data Analyst,"20,000-24,999","Python, SQL",Visual Studio Code (VSCode) ," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions,Man,"Local development environments (RStudio, JupyterLab, etc.)",mediana
11865,China,Data Analyst,0-999,"Python, SQL, C, C++, Java, MATLAB",Visual Studio Code (VSCode) , Matplotlib ,Analyze and understand data to influence product or business decisions,Man,Other,joven
